ticker,analysis_date,rating,error,run_seconds,deep_model,quick_model,debate_rounds,analysts,experiment_id
NVDA,2026-01-30,Overweight,,382.66,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-002-wc12-pm-blind
NVDA,2026-02-06,Buy,,380.03,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-002-wc12-pm-blind
NVDA,2026-02-13,Buy,,392.51,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-002-wc12-pm-blind
NVDA,2026-02-20,Buy,,399.07,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-002-wc12-pm-blind
NVDA,2026-02-27,Hold,,473.38,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-002-wc12-pm-blind
NVDA,2026-03-06,Buy,,432.36,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-002-wc12-pm-blind
NVDA,2026-03-13,Buy,,453.62,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-002-wc12-pm-blind
NVDA,2026-03-20,Overweight,,397.43,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-002-wc12-pm-blind
NVDA,2026-03-27,Overweight,,399.74,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-002-wc12-pm-blind
NVDA,2026-04-03,Overweight,,402.53,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-002-wc12-pm-blind
